epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9353,0.92628,4.68411,1.11448,0.00618,0.10202,0.00777,0.00705,0.41692,4.64634,0.82453,7.24255e-05,7.24255e-05,7.24255e-05
2,107.966,0.56595,3.85522,0.9504,0.02163,0.5657,0.07336,0.06852,0.37242,4.05253,0.83345,0.000143526,0.000143526,0.000143526
3,120.665,0.52661,3.36478,0.92911,0.48635,0.33052,0.12159,0.11109,0.43649,3.28501,0.84672,0.000211697,0.000211697,0.000211697
4,133.358,0.49689,2.96225,0.91399,0.50687,0.3971,0.17334,0.16005,0.35899,2.97913,0.82925,0.000208813,0.000208813,0.000208813
5,146.666,0.4583,2.70391,0.90087,0.4443,0.45152,0.19458,0.18424,0.33173,2.86459,0.81908,0.000204418,0.000204418,0.000204418
6,160.056,0.46151,2.58477,0.89484,0.37353,0.53941,0.18344,0.17165,0.37951,2.72006,0.83237,0.000200022,0.000200022,0.000200022
7,172.585,0.43893,2.49295,0.8924,0.4104,0.61586,0.21349,0.20314,0.31432,2.53487,0.8088,0.000195626,0.000195626,0.000195626
8,185.813,0.43241,2.41339,0.8919,0.43969,0.55131,0.23213,0.22042,0.35447,2.42898,0.81699,0.000191231,0.000191231,0.000191231
9,198.424,0.44251,2.34771,0.89199,0.41513,0.58911,0.24938,0.2381,0.32042,2.36439,0.8091,0.000186835,0.000186835,0.000186835
10,211.018,0.41828,2.24417,0.87985,0.37913,0.64737,0.22465,0.21514,0.32252,2.3508,0.81081,0.00018244,0.00018244,0.00018244
11,223.347,0.41248,2.19206,0.88121,0.35722,0.6953,0.27636,0.2653,0.2991,2.22771,0.80427,0.000178044,0.000178044,0.000178044
12,235.715,0.40192,2.16123,0.87973,0.43577,0.69258,0.26644,0.25732,0.28555,2.17554,0.80248,0.000173648,0.000173648,0.000173648
13,248.898,0.38256,2.07267,0.87203,0.39337,0.66809,0.26562,0.25651,0.29718,2.1937,0.80417,0.000169253,0.000169253,0.000169253
14,261.742,0.38357,2.04795,0.87109,0.3982,0.69279,0.2676,0.26031,0.27909,2.14685,0.7979,0.000164857,0.000164857,0.000164857
